Date	"Price"""	Open	High	Low	Vol.
2022-04-29	"37,650.00"	"38,590.00"	"38,776.00"	"37,596.00"	248.22M
2022-04-28	"38,581.00"	"39,748.00"	"39,919.00"	"38,175.00"	382.90M
2022-04-27	"39,748.00"	"39,243.00"	"40,382.00"	"38,888.00"	542.39M
2022-04-26	"39,243.00"	"38,113.00"	"39,447.00"	"37,869.00"	426.83M
2022-04-25	"38,113.00"	"40,443.00"	"40,770.00"	"37,708.00"	681.47M
2022-04-24	"40,427.00"	"39,464.00"	"40,599.00"	"38,233.00"	654.60M
2022-04-23	"39,464.00"	"39,434.00"	"39,929.00"	"39,033.00"	283.63M
2022-04-22	"39,418.00"	"39,709.00"	"39,973.00"	"39,291.00"	190.60M
2022-04-21	"39,709.00"	"40,487.00"	"40,792.00"	"39,200.00"	421.30M
2022-04-20	"40,482.00"	"41,370.00"	"42,969.00"	"39,793.00"	493.05M
2022-04-19	"41,368.00"	"41,499.00"	"42,203.00"	"40,915.00"	382.84M
2022-04-18	"41,503.00"	"40,809.00"	"41,746.00"	"40,585.00"	268.28M
2022-04-17	"40,803.00"	"39,700.00"	"41,095.00"	"38,577.00"	484.26M
2022-04-16	"39,703.00"	"40,382.00"	"40,599.00"	"39,561.00"	210.01M
2022-04-15	"40,382.00"	"40,571.00"	"40,691.00"	"40,003.00"	151.31M
2022-04-14	"40,560.00"	"39,936.00"	"40,850.00"	"39,781.00"	233.09M
2022-04-13	"39,936.00"	"41,133.00"	"41,494.00"	"39,585.00"	294.29M
2022-04-12	"41,133.00"	"40,072.00"	"41,515.00"	"39,581.00"	406.70M
2022-04-11	"40,078.00"	"39,507.00"	"40,678.00"	"39,265.00"	468.27M
2022-04-10	"39,497.00"	"42,144.00"	"42,418.00"	"39,202.00"	608.38M
2022-04-09	"42,138.00"	"42,760.00"	"43,421.00"	"41,884.00"	255.83M
2022-04-08	"42,767.00"	"42,275.00"	"42,809.00"	"42,129.00"	165.16M
2022-04-07	"42,275.00"	"43,450.00"	"43,979.00"	"42,113.00"	467.83M
2022-04-06	"43,448.00"	"43,166.00"	"43,893.00"	"42,747.00"	390.85M
2022-04-05	"43,173.00"	"45,494.00"	"45,519.00"	"43,122.00"	649.52M
2022-04-04	"45,506.00"	"46,614.00"	"47,201.00"	"45,388.00"	421.11M
2022-04-03	"46,629.00"	"46,407.00"	"46,899.00"	"45,152.00"	446.12M
2022-04-02	"46,407.00"	"45,813.00"	"47,435.00"	"45,554.00"	398.86M
2022-04-01	"45,811.00"	"46,299.00"	"47,212.00"	"45,641.00"	345.93M
2022-03-31	"46,297.00"	"45,529.00"	"46,728.00"	"44,261.00"	632.93M
2022-03-30	"45,525.00"	"47,071.00"	"47,624.00"	"45,228.00"	520.00M
2022-03-29	"47,075.00"	"47,449.00"	"47,714.00"	"46,601.00"	467.76M
2022-03-28	"47,449.00"	"47,126.00"	"48,127.00"	"47,029.00"	478.82M
2022-03-27	"47,105.00"	"46,859.00"	"48,199.00"	"46,672.00"	610.27M
2022-03-26	"46,859.00"	"44,542.00"	"46,947.00"	"44,445.00"	388.79M
2022-03-25	"44,548.00"	"44,331.00"	"44,818.00"	"44,090.00"	196.30M
2022-03-24	"44,331.00"	"44,013.00"	"45,112.00"	"43,622.00"	494.09M
2022-03-23	"44,013.00"	"42,911.00"	"44,251.00"	"42,658.00"	491.66M
2022-03-22	"42,912.00"	"42,373.00"	"43,027.00"	"41,795.00"	433.96M
2022-03-21	"42,373.00"	"41,022.00"	"43,327.90"	"40,893.00"	537.06M
2022-03-20	"41,022.00"	"41,282.00"	"41,532.00"	"40,530.00"	406.62M
2022-03-19	"41,276.00"	"42,241.00"	"42,301.00"	"40,922.00"	308.45M
2022-03-18	"42,233.00"	"41,768.00"	"42,386.00"	"41,529.60"	224.59M
2022-03-17	"41,767.80"	"40,914.60"	"42,308.40"	"40,234.80"	2.31B
2022-03-16	"40,914.80"	"41,118.70"	"41,406.00"	"40,557.80"	1.90B
2022-03-15	"41,118.70"	"39,282.50"	"41,701.60"	"38,953.20"	4.47B
2022-03-14	"39,285.70"	"39,673.00"	"39,854.70"	"38,220.90"	2.25B
2022-03-13	"39,671.10"	"37,789.50"	"39,914.30"	"37,613.60"	2.33B
2022-03-12	"37,792.40"	"38,813.20"	"39,272.30"	"37,603.40"	1.55B
2022-03-11	"38,814.30"	"38,730.20"	"39,355.30"	"38,666.50"	1.11B
2022-03-10	"38,730.20"	"39,422.50"	"40,177.00"	"38,236.40"	2.79B
2022-03-09	"39,416.30"	"41,933.90"	"42,029.10"	"38,603.50"	3.62B
2022-03-08	"41,929.00"	"38,731.50"	"42,538.50"	"38,663.30"	3.60B
